asset_id,generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,commissioning_year_source,commissioning_year_assumption,enabled,status,plant,plant_slug,tech,tech_name,plant_type,substation,region,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,plants_grouped,decommissioning_year,decommissioning_year_source
solar_hawkes_bay_generic_solar_200mw+_15,solar,hawkes_bay,solar,1180625.253913,0.0,1.0,200.0,0.0,2025.0,2025.0,,flexible,edgs_earliest_commissioning_year,,True,Generic,Generic solar (200MW+): 15,generic_solar_200mw+_15,Solar,Solar,PELE,WTU,Hawke's Bay,23.558811,0.0,3600,33.83,269.955051,1,,
solar_hawkes_bay_hawkes_bay_airport_solar_farm,solar,hawkes_bay,solar,1383501.291261,0.0,1.0,40.0,0.0,2025.0,2025.0,,flexible,edgs_earliest_commissioning_year,,True,Announced,Hawke's Bay Airport solar farm,hawkes_bay_airport_solar_farm,Solar,Solar,PELE,RDF,Hawke's Bay,23.558811,0.0,3600,20.444943,75.784995,1,,
solar_hawkes_bay_ongaonga_solar_farm_sky_solar,solar,hawkes_bay,solar,1409841.185396,0.0,1.0,70.0,0.0,2024.0,,2024.0,fixed,edgs_fixed_commissioning_year,,True,Fully consented,Ongaonga solar farm (Sky Solar),ongaonga_solar_farm_sky_solar,Solar,Solar,PELE,WPW,Hawke's Bay,23.558811,0.0,3600,36.64573,135.334613,1,,
solar_hawkes_bay_ongaonga_solar_helios,solar,hawkes_bay,solar,945051.895981,0.0,1.0,100.0,0.0,2035.0,2035.0,,flexible,assumed_from_status_announced,2035.0,True,Announced,Ongaonga solar (Helios),ongaonga_solar_helios,Solar,Solar,PELE,WPW,Hawke's Bay,23.558811,0.0,3600,24.615711,119.120901,1,,
solar_hawkes_bay_tikokino_solar_farm,solar,hawkes_bay,solar,1145019.07913,0.0,1.0,43.0,0.0,2035.0,2035.0,,flexible,assumed_from_status_announced,2035.0,True,Announced,Tikokino solar farm,tikokino_solar_farm,Solar,Solar,PELE,WPW,Hawke's Bay,20.444943,0.0,3600,17.28,66.51582,1,,
wind_hawkes_bay_generic_wind_no_32,wind,hawkes_bay,wind,2145185.381629,0.0,1.0,50.0,0.0,2035.0,2035.0,,flexible,assumed_from_status_generic,2035.0,True,Generic,Generic Wind No. 32,generic_wind_no_32,Wind,Wind,PELE,TUI,Hawke's Bay,47.188298,0.0,3600,3.451366,110.710635,1,,
wind_hawkes_bay_generic_wind_no_70,wind,hawkes_bay,wind,2290354.939044,0.0,1.0,150.0,0.0,2035.0,2035.0,,flexible,assumed_from_status_generic,2035.0,True,Generic,Generic Wind No. 70,generic_wind_no_70,Wind,Wind,PELE,TUI,Hawke's Bay,56.764955,0.0,3600,188.988781,532.542022,1,,
wind_hawkes_bay_harapaki_wind_farm,wind,hawkes_bay,wind,2479818.246401,0.0,1.0,176.0,0.0,2024.0,,2024.0,fixed,edgs_fixed_commissioning_year,,True,Under construction,Harapaki wind farm,harapaki_wind_farm,Wind,Wind,PELE,RDF,Hawke's Bay,41.239698,0.0,3600,21.518302,457.966314,1,,
hydro_storage_manawatu_whanganui_mangahao,hydro_storage,manawatu_whanganui,hydro_storage,0.0,0.0,1.0,39.0,0.0,,,,existing,edgs_status_current,,True,Current,Mangahao,mangahao,HydSC,"Hydro, schedulable",PELE,MHO,Manawatū-Whanganui,76.085855,0.0,3600,,,1,,
solar_manawatu_whanganui_dannevirke_solar_farm,solar,manawatu_whanganui,solar,1194409.962609,0.0,1.0,65.0,0.0,2040.0,2040.0,,flexible,assumed_from_status_early_stages,2040.0,True,Early stages,Dannevirke Solar Farm,dannevirke_solar_farm,Solar,Solar,PELE,DVK,Manawatū-Whanganui,23.558811,0.0,3600,23.62,101.256648,1,,
solar_manawatu_whanganui_foxton_solar_farm,solar,manawatu_whanganui,solar,1249231.794972,0.0,1.0,42.0,0.0,2025.0,2025.0,,flexible,edgs_earliest_commissioning_year,,True,Under construction,Foxton solar farm,foxton_solar_farm,Solar,Solar,PELE,BPE,Manawatū-Whanganui,23.558811,0.0,3600,17.664431,70.132166,1,,
solar_manawatu_whanganui_karioi_solar_farm,solar,manawatu_whanganui,solar,1161956.150372,0.0,1.0,100.0,0.0,2026.0,2026.0,,flexible,edgs_earliest_commissioning_year,,True,Announced,Karioi solar farm,karioi_solar_farm,Solar,Solar,PELE,TNG,Manawatū-Whanganui,23.558811,0.0,3600,26.506869,142.702484,1,,
solar_manawatu_whanganui_mangamaire_solar_farm,solar,manawatu_whanganui,solar,1237790.182643,0.0,1.0,50.0,0.0,2030.0,2030.0,,flexible,assumed_from_status_fully_consented,2030.0,True,Fully consented,Mangamaire solar farm,mangamaire_solar_farm,Solar,Solar,PELE,LTN,Manawatū-Whanganui,23.558811,0.0,3600,17.664431,79.55394,1,,
solar_manawatu_whanganui_marton_solar_farm,solar,manawatu_whanganui,solar,1150585.652174,0.0,1.0,41.0,0.0,2030.0,2030.0,,flexible,assumed_from_status_fully_consented,2030.0,True,Fully consented,Marton solar farm,marton_solar_farm,Solar,Solar,PELE,MTN,Manawatū-Whanganui,23.558811,0.0,3600,17.86,65.034012,1,,
solar_manawatu_whanganui_marton_solar_farm_energy_farms_ltd,solar,manawatu_whanganui,solar,1076983.793043,0.0,1.0,95.0,0.0,2030.0,2030.0,,flexible,assumed_from_status_applied_for_consent,2030.0,True,Applied for consent,Marton Solar Farm (Energy Farms Ltd),marton_solar_farm_energy_farms_ltd,Solar,Solar,PELE,MTN,Manawatū-Whanganui,23.558811,0.0,3600,25.35,127.66346,1,,
solar_manawatu_whanganui_marton_solar_farm_harmony,solar,manawatu_whanganui,solar,1146823.45913,0.0,1.0,73.0,0.0,2030.0,2030.0,,flexible,assumed_from_status_applied_for_consent,2030.0,True,Applied for consent,Marton Solar Farm (Harmony),marton_solar_farm_harmony,Solar,Solar,PELE,MTN,Manawatū-Whanganui,23.558811,0.0,3600,23.33,107.048113,1,,
solar_manawatu_whanganui_palmerston_north_solar_farm,solar,manawatu_whanganui,solar,1315851.715452,0.0,1.0,28.0,0.0,2024.0,2024.0,,flexible,edgs_earliest_commissioning_year,,True,Announced,Palmerston North solar farm,palmerston_north_solar_farm,Solar,Solar,PELE,BPE,Manawatū-Whanganui,23.558811,0.0,3600,20.618725,57.462573,1,,
