scenario,generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,tech,tech_name,region,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,plants_grouped
Environmental,wind,hawkes_bay,wind,2479818.246401,0.000000,1.000000,176.000000,0.000000,2024,,2024,fixed,Wind,Wind,Hawke's Bay,41.239698,0.000000,3600.000000,21.518302,457.966314,1
Environmental,wind,hawkes_bay,wind,2243555.852291,0.000000,1.000000,475.000000,0.000000,,,,flexible,Wind,Wind,Hawke's Bay,52.741978,0.000000,3600.000000,362.558320,1428.247350,4
Environmental,hydsc,manawatu_whanganui,hydsc,,0.000000,1.000000,39.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Manawatū-Whanganui,76.085855,0.000000,3600.000000,,,1
Environmental,solar,manawatu_whanganui,solar,1174159.557565,0.000000,1.000000,974.000000,0.000000,2024,2024,,flexible,Solar,Solar,Manawatū-Whanganui,23.558811,0.000000,3600.000000,294.334455,1437.965864,11
Environmental,wind,manawatu_whanganui,wind,2337570.860967,0.000000,1.000000,2419.150000,0.000000,2024,2024,,flexible,Wind,Wind,Manawatū-Whanganui,49.503873,0.000000,3600.000000,578.578539,5021.131961,19
Environmental,hydrr,marlborough,hydrr,5279244.692933,0.000000,1.000000,72.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",Marlborough,74.317368,0.000000,3600.000000,13.881733,393.987351,1
Environmental,solar,marlborough,solar,1477902.838083,0.000000,1.000000,205.000000,0.000000,2020,2020,,flexible,Solar,Solar,Marlborough,23.133502,0.000000,3600.000000,77.530000,380.500082,3
Environmental,wind,marlborough,wind,2103130.223255,0.000000,1.000000,125.000000,0.000000,,,,flexible,Wind,Wind,Marlborough,49.645482,0.000000,3600.000000,45.821887,308.713165,2
Environmental,hydsc,nelson,hydsc,,0.000000,1.000000,32.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Nelson,76.464087,0.000000,3600.000000,,,1
Environmental,solar,nelson,solar,988076.457391,0.000000,1.000000,130.000000,0.000000,,,,flexible,Solar,Solar,Nelson,23.558811,0.000000,3600.000000,31.690000,160.139939,1
Environmental,dslpkr,northland,dslpkr,,50.898764,0.330094,9.000000,0.000000,,,,flexible,DslPkr,"Peaker, diesel-fired OCGT",Northland,22.380870,3.133322,10906.000000,,,1
Environmental,gaspkr,northland,gaspkr,1213001.596675,44.570325,0.306383,100.000000,0.000000,2030,2030,,flexible,GasPkr,"Peaker, gas-fired OCGT",Northland,5.418526,2.650366,11750.000000,13.192934,134.493094,1
Environmental,geo,northland,geo,9104553.414634,0.000000,0.300000,142.000000,0.000000,2026,2026,,flexible,Geo,Geothermal,Northland,223.808703,0.000000,12000.000000,53.007324,799.580704,5
Environmental,solar,northland,solar,1249208.260870,0.000000,1.000000,24.000000,0.000000,2024,,2024,fixed,Solar,Solar,Northland,20.444943,0.000000,3600.000000,24.200000,54.180998,1
Environmental,solar,northland,solar,1117299.167043,0.000000,1.000000,585.700000,0.000000,2024,2024,,flexible,Solar,Solar,Northland,23.558811,0.000000,3600.000000,206.946336,825.594885,9
Environmental,wind,northland,wind,2153767.133259,0.000000,1.000000,1323.000000,0.000000,2024,2024,,flexible,Wind,Wind,Northland,50.101034,0.000000,3600.000000,582.032202,3431.466119,10
Environmental,biorecip,otago,biorecip,2485689.015489,16.012294,0.315789,10.000000,0.000000,2030,2030,,flexible,BioRecip,Reciprocating Biogas engine,Otago,21.173282,0.000000,11400.000000,0.661665,25.518555,1
Environmental,hydpk,otago,hydpk,2957201.677961,0.000000,1.000000,17.000000,0.000000,,,,flexible,HydPK,"Hydro, peaking",Otago,153.132623,0.000000,3600.000000,17.203291,67.475720,1
Environmental,hydrr,otago,hydrr,5878250.004487,0.000000,1.000000,725.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",Otago,64.790447,0.000000,3600.000000,75.297483,4337.028736,4
Environmental,hydsc,otago,hydsc,,0.000000,1.000000,839.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Otago,61.884357,0.000000,3600.000000,,,2
Environmental,solar,otago,solar,1145798.494019,0.000000,1.000000,1919.000000,0.000000,2020,2020,,flexible,Solar,Solar,Otago,23.072015,0.000000,3600.000000,423.451174,2622.238484,12
Environmental,wind,otago,wind,2423315.198309,0.000000,1.000000,924.000000,0.000000,2028,2028,,flexible,Wind,Wind,Otago,48.084910,0.000000,3600.000000,175.731590,2327.635486,5
Environmental,hydsc,southland,hydsc,,0.000000,1.000000,800.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Southland,35.339084,0.000000,3600.000000,,,1
Environmental,solar,southland,solar,1218174.991513,0.000000,1.000000,500.000000,0.000000,2025,2025,,flexible,Solar,Solar,Southland,23.558811,0.000000,3600.000000,121.510000,730.597496,4
Environmental,wind,southland,wind,2337743.251636,0.000000,1.000000,991.000000,0.000000,2026,2026,,flexible,Wind,Wind,Southland,49.539448,0.000000,3600.000000,211.145825,2291.737319,9
Environmental,ccgt,taranaki,ccgt,,10.116153,0.467532,380.000000,0.000000,,,,flexible,CCGT,Combined cycle gas turbine,Taranaki,48.295562,0.518294,7700.000000,,,1
Environmental,gascog,taranaki,gascog,,18.070878,0.387097,95.000000,0.000000,,,,flexible,GasCog,"Cogeneration, gas-fired",Taranaki,46.837345,1.322268,9300.000000,,,2
Environmental,gaspkr,taranaki,gaspkr,1213001.596675,24.150713,0.356819,510.000000,0.000000,2025,2025,,flexible,GasPkr,"Peaker, gas-fired OCGT",Taranaki,19.054921,1.250465,10089.156863,13.192934,134.493094,4
Environmental,hydsc,taranaki,hydsc,,0.000000,1.000000,33.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Taranaki,76.402752,0.000000,3600.000000,,,1
Environmental,ocgt,taranaki,ocgt,,16.726756,0.310345,9.600000,0.000000,,,,flexible,OCGT,Open cycle gas turbine,Taranaki,11.779405,0.000000,11600.000000,,,1
Environmental,solar,taranaki,solar,1134567.835069,0.000000,1.000000,841.000000,0.000000,2025,2025,,flexible,Solar,Solar,Taranaki,23.321846,0.000000,3600.000000,261.976347,1216.147896,9
Environmental,wind,taranaki,wind,2168358.110694,0.000000,1.000000,733.000000,0.000000,,,,flexible,Wind,Wind,Taranaki,48.575183,0.000000,3600.000000,132.883473,1433.898339,4
Environmental,ccgt,waikato,ccgt,,15.888062,0.486486,403.000000,0.000000,,,,flexible,CCGT,Combined cycle gas turbine,Waikato,48.295562,1.319293,7400.000000,,,1
Environmental,coal,waikato,coal,,23.293774,0.330275,400.000000,0.000000,,,,flexible,Coal,Coal,Waikato,96.591125,0.883455,10900.000000,,,2
Environmental,gaspkr,waikato,gaspkr,1213001.596675,44.570325,0.306383,300.000000,0.000000,2025,2025,,flexible,GasPkr,"Peaker, gas-fired OCGT",Waikato,5.418526,2.650366,11750.000000,39.578802,403.479281,3
Environmental,geo,waikato,geo,5460725.829002,0.000000,0.300000,203.400000,0.000000,2024,,2024,fixed,Geo,Geothermal,Waikato,230.789404,0.000000,12000.000000,42.664431,1153.376064,2
Environmental,geo,waikato,geo,6042694.636404,0.000000,0.300000,1421.400000,0.000000,2026,2026,,flexible,Geo,Geothermal,Waikato,218.365374,0.000000,12000.000000,252.263550,4022.905003,23
Environmental,hydsc,waikato,hydsc,,0.000000,1.000000,1455.500000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Waikato,67.460618,0.000000,3600.000000,,,2
Environmental,ocgt,waikato,ocgt,1528758.952784,26.793863,0.314088,510.800000,0.000000,,,,flexible,OCGT,Open cycle gas turbine,Waikato,22.187160,1.219671,11461.765857,5.889703,556.242926,4
Environmental,othcog,waikato,othcog,,27.139750,0.300000,39.600000,0.000000,,,,flexible,OthCog,"Cogeneration, other",Waikato,82.455838,1.319293,12000.000000,,,1
Environmental,solar,waikato,solar,1176342.254018,0.000000,1.000000,2357.000000,0.000000,2020,2020,,flexible,Solar,Solar,Waikato,23.558811,0.000000,3600.000000,540.192486,3312.831179,16
Environmental,wind,waikato,wind,2229027.537854,0.000000,1.000000,100.000000,0.000000,2025,,2025,fixed,Wind,Wind,Waikato,48.531150,0.000000,3600.000000,18.411211,241.313964,1
Environmental,wind,waikato,wind,2194022.881444,0.000000,1.000000,1769.400000,0.000000,2025,2025,,flexible,Wind,Wind,Waikato,48.193739,0.000000,3600.000000,474.545127,4215.354140,13
Environmental,wood,waikato,wood,,23.293774,0.330275,480.000000,0.000000,2032,,2032,fixed,Wood,Wood - Torrefied for use in coal generators,Waikato,96.591125,0.883455,10900.000000,,,2
Environmental,solar,wellington,solar,1141887.233188,0.000000,1.000000,1163.000000,0.000000,2025,2025,,flexible,Solar,Solar,Wellington,23.558811,0.000000,3600.000000,332.415446,1660.430298,8
Environmental,wind,wellington,wind,2164941.975635,0.000000,1.000000,867.600000,0.000000,,,,flexible,Wind,Wind,Wellington,49.559309,0.000000,3600.000000,199.009465,1638.695879,7
Environmental,hydpk,west_coast,hydpk,5258472.733140,0.000000,1.000000,46.000000,0.000000,,,,flexible,HydPK,"Hydro, peaking",West Coast,75.707624,0.000000,3600.000000,7.939981,249.829726,1
Environmental,hydrr,west_coast,hydrr,5731635.257422,0.000000,1.000000,144.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",West Coast,88.807011,0.000000,3600.000000,36.523911,861.879388,4
Environmental,solar,west_coast,solar,1363712.196522,0.000000,1.000000,40.000000,0.000000,2030,2030,,flexible,Solar,Solar,West Coast,23.558811,0.000000,3600.000000,23.770000,78.318488,1
